,BUILDING_BP1 길이옵셋,BUILDING_BP1 오픈/오버랩량 조정,BUILDING_Belt #1 - 길이,BUILDING_Belt #1 - 폭 ,BUILDING_Belt #2 - 길이,BUILDING_Belt #2 - 폭 ,BUILDING_Belt Offset,BUILDING_Belt 각도,BUILDING_Carcass #1 - 폭 ,BUILDING_Carcass #2 - 폭 ,BUILDING_Inner - 폭 ,BUILDING_PA - 길이,BUILDING_PA - 폭 ,BUILDING_Splice Lap-BP1-우,BUILDING_Splice Lap-BP1-좌,BUILDING_Splice Lap-BP1-중,BUILDING_Splice Lap-PA-우,BUILDING_Splice Lap-PA-좌,BUILDING_Splice Lap-PA-중,BUILDING_Splice Lap-벨트1-우,BUILDING_Splice Lap-벨트1-좌,BUILDING_Splice Lap-벨트1-중,BUILDING_Splice Lap-벨트2-우,BUILDING_Splice Lap-벨트2-좌,BUILDING_Splice Lap-벨트2-중,BUILDING_Splice Lap-트래드-우,BUILDING_Splice Lap-트래드-좌,BUILDING_Splice Lap-트래드-중,BUILDING_T/D 스티칭 압력 - Setting - 폭,BUILDING_Tread 길이 - 세팅,BUILDING_Tread 길이 - 실측,BUILDING_Tread 폭 - 세팅,BUILDING_Tread 폭 - 실측,BUILDING_WRK_DATE,BUILDING_멀티롤압력센-BP1-Ch1,BUILDING_멀티롤압력센-BP1-Ch2-우,BUILDING_멀티롤압력센-BP1-Ch2-좌,BUILDING_멀티롤압력센-BP1-Ch3-우,BUILDING_멀티롤압력센-BP1-Ch3-좌,BUILDING_멀티롤압력센-BP1-Ch4-우,BUILDING_멀티롤압력센-BP1-Ch4-좌,BUILDING_멀티롤압력센-BP1-Ch5-우,BUILDING_멀티롤압력센-BP1-Ch5-좌,BUILDING_멀티롤압력센-BP1-Ch6-우,BUILDING_멀티롤압력센-BP1-Ch6-좌,BUILDING_멀티롤압력센-BP1-Ch7-우,BUILDING_멀티롤압력센-BP1-Ch7-좌,BUILDING_재료길이-BP1 App CV,BUILDING_재료길이-BP1 FrontCV,BUILDING_재료길이-BP1 Mid CV,BUILDING_재료길이-BP1 Mid_우 CV,BUILDING_재료길이-BP1 컷팅 CV,BUILDING_재료길이-PA App CV,BUILDING_재료길이-PA 컷팅 CV,BUILDING_재료옵셋-BP1,BUILDING_재료옵셋-PA,gt_LWM_STD_WGT,gt_MRM_WGT,gt_STD_WGT,gt_UPM_STD_WGT
45881,100.0,86.0,1955.53,212.04,1961.55,199.34,4.7,27.0,621.04,441.6,402.88,1404.5,593.35,6.6,5.3,5.3,8.1,8.8,8.8,2.8,2.5,2.0,2.2,0.0,1.7,2.2,3.7,3.2,220.0,1983.0,1984.72,252.0,251.32,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1990.0,1934.9,1405.4,1404.9,1405.2,663.4,1476.8,1415.0,1404.5,10.469,10.68,10.737,11.005
45882,100.0,86.0,1955.53,212.04,1961.55,199.34,4.7,27.0,621.04,441.6,402.88,1404.5,593.42,6.6,5.3,5.3,8.5,9.7,9.5,5.0,3.8,3.2,-0.9,0.0,0.1,1.1,0.9,0.9,220.0,1983.0,1984.72,252.0,251.48,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1966.7,1934.9,1405.1,1404.5,1405.1,1397.3,1467.3,1415.0,1404.5,10.469,10.7,10.737,11.005
45883,100.0,86.0,1954.78,211.91,1956.96,199.34,4.7,27.0,621.1,441.6,401.35,1404.5,593.42,5.3,6.0,5.3,8.5,9.7,9.5,5.0,3.8,3.2,0.0,0.0,2.0,3.2,3.7,2.8,220.0,1983.0,1984.01,252.0,251.48,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1969.7,1934.9,1405.2,1404.5,1405.7,1396.1,1467.3,1415.0,1404.5,10.469,10.72,10.737,11.005
45884,100.0,86.0,1954.78,212.35,1959.45,199.13,4.7,27.0,621.12,441.6,401.86,1404.5,593.4,7.3,6.0,5.3,8.3,8.2,8.2,2.5,2.8,1.3,0.0,0.0,2.0,3.2,3.7,2.8,220.0,1983.0,1983.65,252.0,251.29,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1969.7,1934.9,1405.2,1405.2,1406.0,668.1,1467.3,1415.0,1404.5,10.469,10.72,10.737,11.005
45885,100.0,86.0,1953.64,212.35,1959.45,199.13,4.7,27.0,621.12,441.6,400.84,1404.5,593.4,7.3,4.8,5.0,7.9,8.2,8.2,3.1,2.8,1.7,0.0,0.0,1.3,2.2,2.8,1.8,220.0,1983.0,1984.36,252.0,251.37,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1931.2,1936.7,1404.6,1405.2,1406.0,668.1,1467.9,1415.0,1404.5,10.469,10.7,10.737,11.005
45886,100.0,86.0,1953.69,212.12,1959.24,198.63,4.7,27.0,621.04,441.6,402.88,1404.5,593.38,5.3,5.1,4.2,9.0,7.5,9.3,3.1,0.0,1.7,0.9,0.0,1.3,1.8,1.3,1.1,220.0,1983.0,1984.36,252.0,251.37,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1966.6,1936.7,1404.6,1403.8,1405.4,595.5,1467.9,1415.0,1404.5,10.469,10.7,10.737,11.005
45887,100.0,86.0,1953.89,212.16,1959.09,199.84,4.7,27.0,621.08,441.6,402.88,1404.5,593.11,6.6,5.1,5.3,9.0,7.9,9.3,1.5,4.1,0.0,0.0,0.0,1.3,4.6,6.5,5.6,220.0,1983.0,1981.51,252.0,251.17,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1968.9,1934.9,1404.5,1404.8,1405.1,1642.7,1477.8,1415.0,1404.5,10.469,10.6,10.737,11.005
45888,100.0,86.0,1953.89,212.16,1959.09,199.84,4.7,27.0,621.08,441.6,402.88,1404.5,593.22,6.6,6.2,5.3,9.2,7.9,9.5,4.1,4.1,2.0,1.2,0.0,1.0,4.6,6.5,5.6,220.0,1983.0,1981.51,252.0,250.71,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,2024.8,1936.7,1405.7,1404.8,1405.1,630.2,1477.8,1415.0,1404.5,10.469,10.56,10.737,11.005
45889,100.0,86.0,1954.58,211.96,1959.0,198.92,4.7,27.0,621.04,441.6,401.86,1404.5,593.14,5.9,6.2,5.0,9.2,4.8,9.9,4.1,1.9,2.0,1.2,0.0,1.0,3.7,5.0,3.7,220.0,1983.0,1981.16,252.0,250.37,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,2024.8,1936.7,1405.7,1404.5,1405.0,840.2,1467.9,1415.0,1404.5,10.469,10.63,10.737,11.005
45890,100.0,86.0,1954.58,212.28,1957.35,199.12,4.7,27.0,621.05,441.6,402.88,1404.5,593.1,7.3,5.1,5.3,4.5,8.2,9.9,5.3,2.5,2.6,0.0,0.0,1.0,3.7,4.1,2.8,220.0,1983.0,1983.65,252.0,250.31,20230225,3.0,2.0,0.3,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.5,0.0,0.0,1966.7,1938.5,1404.2,1404.2,1405.0,840.2,1467.0,1415.0,1404.5,10.469,10.66,10.737,11.005
